seed,estimator,est,truth,se_naive,se_sandwich,se_wls_default,se_wls_freq,se_wls_robust,se_boot,se_paired,se_unpaired,pairs,se_boot_sets,se_ai,distinct,max_reuse
20260808,odds,5600.834957830739,6408.3234333264845,366.3260236480427,240.62755105037223,240.74174473590384,503.4690532366546,366.3023409993919,224.7758631295265,,,,,,,
20260808,ipw_ate,4284.725670207095,5411.563315091016,605.6100319256268,493.97202845517074,297.27801090074854,210.4623694662345,608.3931959763162,476.8482987440621,,,,,,,
20260808,dr_att,5550.882894730926,6408.3234333264845,262.5907620888012,,,,,240.4326477626596,,,,,,,
20260808,dr_ate,4584.1909514100535,5411.563315091016,413.89168921898784,,,,,394.6227156099388,,,,,,,
20260808,sub20,5626.865972198195,6408.3234333264845,320.43224323452625,,,,,222.7832401382749,,,,,,,
20260808,sub20_reg,5727.941712601671,6408.3234333264845,,,,,,216.42949059847055,,,,,,,
20260808,match,4921.475431921021,6405.142297408474,,,,,,392.9159181087562,443.3759171252194,506.6097605436279,4862.0,427.8330773947621,,,
20260808,match_repl,4933.365993009868,6406.359165296053,,,521.5276888667283,505.9041523047835,530.5168551808091,540.3826550216945,442.66594272589833,,4864.0,428.2104856742368,463.0977218340149,4290.0,4.0
20260808,maha,6639.610388728918,6405.142297408474,,,,,,,337.196728289519,,4862.0,343.4515784193797,,,
20260808,maha13,6192.549797599108,6375.424064070352,,,,,,,285.3932246908041,,4776.0,293.03890977545973,,,
20260809,odds,5658.718343033281,6452.129498334721,372.3762434322979,246.81042185603016,241.5712754621289,508.6222856793794,372.3512584364434,272.8114517274708,,,,,,,
20260809,ipw_ate,4114.4011403362965,5408.47094119028,662.3040910491728,552.3739871909985,308.4028790791129,218.24464937528165,664.3041319816683,564.2229117225768,,,,,,,
20260809,dr_att,5634.798118589861,6452.129498334721,274.233011266094,,,,,279.35805255188217,,,,,,,
20260809,dr_ate,4538.927111582178,5408.47094119028,468.47902726539786,,,,,502.9860399212919,,,,,,,
